test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,32,8388608,3,16,2097152,5.564445,806862832.000000,5.780038,806846752.000000,23116809.000000,0,0,2097152.000000,325.376621
ofs,0,0,0,1,32,8388608,3,16,4194304,5.457103,806889712.000000,5.770359,806881072.000000,21020729.000000,0,0,4194304.000000,325.376621
ofs,0,0,0,1,32,8388608,3,2,0,0,0,0,0,0,172.239319,9415240320.000000,0,296.388103
ofs,0,0,0,1,32,8388608,3,2,1,0.386777,3255872.000000,0.776802,6719584.000000,209986.000000,0,0,1.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,2,0.471292,4022672.000000,0.682090,6742144.000000,210690.000000,0,0,2.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,4,0.468515,4176272.000000,0.682142,6754144.000000,211063.000000,0,0,4.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,8,0.476653,4186352.000000,0.702830,6787504.000000,212101.000000,0,0,8.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,16,0.479638,4251152.000000,0.697998,6737104.000000,210518.000000,0,0,16.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,32,3.467609,4251872.000000,0.668796,6749344.000000,210885.000000,0,0,32.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,64,0.498097,4309232.000000,0.708493,6749344.000000,210853.000000,0,0,64.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,128,0.492741,4303712.000000,0.828792,6782464.000000,211824.000000,0,0,128.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,256,1.041569,7045744.000000,1.139261,11992448.000000,374508.000000,0,0,256.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,512,0.919685,170199616.000000,1.669080,338840912.000000,10588266.000000,0,0,512.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,1024,0.845823,170164336.000000,1.905235,338858912.000000,10588317.000000,0,0,1024.000000,296.388103
ofs,0,0,0,1,32,8388608,3,2,2048,0.913382,170233456.000000,1.454750,338837552.000000,10586625.000000,0,0,2048.000000,296.388103
